uvkey,aqi
"(2537914928, 2537914930, 0)",1.836
"(2537914930, 2537914928, 0)",1.836
"(2537914930, 482114162, 0)",1.836
"(2537914930, 2537914939, 0)",1.828
"(2537914931, 2537914923, 0)",1.83
"(2537914931, 2537914942, 0)",1.826
"(2537914931, 2537914936, 0)",1.826
"(2537914933, 2537914927, 0)",1.88
"(2537914933, 479803061, 0)",1.828
"(2537914933, 2537914937, 0)",1.88
"(2537914936, 2537914931, 0)",1.826
"(2537914936, 2537914947, 0)",1.826
"(2537914936, 2742150158, 0)",1.823
"(2537914937, 2537914933, 0)",1.88
"(2537914937, 480769438, 0)",1.841
"(2537914937, 2537914944, 0)",1.88
"(612827705, 612827692, 0)",1.931
"(612827705, 1324918424, 0)",1.918
"(612827705, 612827727, 0)",1.905
"(612827705, 2479100228, 0)",1.841
"(2537914939, 2537914930, 0)",1.828
"(2537914939, 2537914946, 0)",1.828
"(2537914939, 479803061, 0)",1.828
"(2537914942, 2537914903, 0)",1.848
"(2537914942, 2537914931, 0)",1.826
"(2537914942, 2537914947, 0)",1.826
"(2537914944, 2537914937, 0)",1.88
"(2537914944, 466975020, 0)",1.854
"(2537914944, 2537914951, 0)",1.854
"(2537914944, 613062362, 0)",1.88
"(2537914946, 2537914939, 0)",1.828
"(2537914947, 2537914936, 0)",1.826
"(2537914947, 2537914942, 0)",1.826
"(2537914947, 2537914959, 0)",1.824
"(2537914951, 2537914944, 0)",1.854
"(2537914951, 479803057, 0)",1.854
"(2537914951, 613062361, 0)",1.854
"(2537914953, 2537914922, 0)",1.824
"(2537914954, 482114163, 0)",1.833
"(612827721, 612827727, 0)",1.918
"(612827721, 2413915238, 0)",1.88
"(612827721, 676692983, 0)",1.918
"(612827721, 2413915216, 0)",1.905
"(534118988, 1034354817, 0)",1.931
"(534118988, 2875312441, 0)",1.944
"(534118988, 534118990, 0)",1.938
"(534118988, 317891883, 0)",1.944
"(2537914957, 2537914964, 0)",1.815
"(534118990, 534118988, 0)",1.938
"(364970574, 641351945, 0)",1.841
"(364970574, 504371393, 0)",1.841
"(364970574, 344203050, 0)",1.854
"(2537914959, 2537914947, 0)",1.824
"(2537914959, 1412998631, 0)",1.835
"(2537914959, 2742150158, 0)",1.828
"(612827727, 612827705, 0)",1.905
"(612827727, 612827721, 0)",1.918
"(612827727, 1513594750, 0)",1.918
"(612827723, 1513594750, 0)",1.918
"(612827723, 1513563528, 0)",1.918
"(612827723, 612827731, 0)",1.893
"(612827731, 612827723, 0)",1.893
"(612827731, 612827738, 0)",1.88
"(612827731, 1580874861, 0)",1.88
"(612827731, 1324879839, 0)",1.88
"(2537914964, 2537914957, 0)",1.815
"(2537914964, 2537914968, 0)",1.841
"(2537914964, 479803057, 0)",1.841
"(2537914968, 2537914964, 0)",1.841
"(612827736, 612827742, 0)",1.867
"(612827736, 2413915238, 0)",1.88
"(612827736, 612827750, 0)",1.867
"(2537914970, 1306593938, 0)",1.828
"(2537914970, 2868242557, 0)",1.854
"(2537914970, 480769438, 0)",1.854
"(2537914971, 2868242557, 0)",1.841
"(2537914971, 1413001741, 0)",1.841
"(2537914971, 353713781, 0)",1.841
"(612827738, 612827731, 0)",1.88
"(612827738, 612827745, 0)",1.841
"(612827738, 612827742, 0)",1.88
"(612827742, 612827736, 0)",1.867
"(612827742, 612827738, 0)",1.88
"(612827742, 1324879870, 0)",1.867
"(612827742, 1324879839, 0)",1.88
"(34177631, 34177045, 0)",1.828
"(34177631, 480227099, 0)",1.828
"(34177631, 462516665, 0)",1.828
"(612827745, 612827738, 0)",1.841
"(612827745, 1461004372, 0)",1.841
"(612827745, 1324879870, 0)",1.841
"(612827745, 1988932482, 0)",1.88
"(612827750, 612827736, 0)",1.867
"(612827750, 1324879894, 0)",1.88
"(612827750, 612827760, 0)",1.905
"(612827750, 2413915254, 0)",1.867
"(34177639, 478498196, 0)",1.893
"(34177639, 2434430323, 0)",1.893
"(34177639, 482735796, 0)",1.88
"(34177639, 462516678, 0)",1.88
"(612827759, 1513594882, 0)",1.841
"(612827759, 2198617934, 0)",1.88
"(612827759, 1324879894, 0)",1.88
"(612827759, 612827761, 0)",1.905
"(612827760, 612827750, 0)",1.905
