;id_otp;name_otp;vertex_class;traversable_walking;traversable_biking;label;traffic_light;free_flowing;x;y;geometry
354020;460559;osm:node:5017695840;OsmVertex;True;True;osm:node:5017695840;False;False;24.9750273;60.20732450000001;POINT (24.9750273 60.207324500000006)
354021;63996;osm:node:2433697444;OsmVertex;True;True;osm:node:2433697444;False;False;24.977105700000006;60.2116223;POINT (24.977105700000003 60.2116223)
354035;90513;osm:node:2433697479;OsmVertex;True;True;osm:node:2433697479;False;False;24.9772675;60.2134907;POINT (24.9772675 60.2134907)
354036;282499;osm:node:2433697476;OsmVertex;True;True;osm:node:2433697476;False;False;24.9784428;60.2133149;POINT (24.9784428 60.2133149)
354056;451700;osm:node:5017695827;OsmVertex;True;True;osm:node:5017695827;False;False;24.975246100000003;60.206763699999996;POINT (24.975246100000003 60.2067637)
354060;123614;osm:node:5017695829;OsmVertex;True;True;osm:node:5017695829;False;False;24.975321500000003;60.206844;POINT (24.975321500000003 60.206844000000004)
354153;430598;osm:node:580670407;OsmVertex;True;True;osm:node:580670407;False;False;24.9534704;60.21186820000001;POINT (24.9534704 60.211868200000005)
354155;277124;osm:node:580670404;OsmVertex;True;True;osm:node:580670404;False;False;24.953506200000003;60.21180980000001;POINT (24.953506200000003 60.211809800000005)
354164;76238;osm:node:580670415;OsmVertex;True;True;osm:node:580670415;False;False;24.955041899999998;60.2122748;POINT (24.9550419 60.2122748)
354241;368342;osm:node:2433697538;OsmVertex;True;True;osm:node:2433697538;False;False;24.9761808;60.2146267;POINT (24.9761808 60.214626700000004)
354242;368354;osm:node:2433697536;OsmVertex;True;True;osm:node:2433697536;False;False;24.975289399999998;60.214534500000006;POINT (24.9752894 60.214534500000006)
354245;368341;osm:node:2433697530;OsmVertex;True;True;osm:node:2433697530;False;False;24.976231;60.2144954;POINT (24.976231000000002 60.214495400000004)
354247;368353;osm:node:2433697522;OsmVertex;True;True;osm:node:2433697522;False;False;24.9753743;60.21434530000001;POINT (24.975374300000002 60.214345300000005)
354250;368340;osm:node:2433697526;OsmVertex;True;True;osm:node:2433697526;False;False;24.976264399999998;60.21440810000001;POINT (24.9762644 60.21440810000001)
354270;403737;osm:node:1972770080;OsmVertex;True;True;osm:node:1972770080;False;False;24.9823312;60.211367;POINT (24.9823312 60.211367)
354283;368355;osm:node:2433697543;OsmVertex;True;True;osm:node:2433697543;False;False;24.975206699999998;60.21471870000001;POINT (24.9752067 60.214718700000006)
354286;368356;osm:node:2433697547;OsmVertex;True;True;osm:node:2433697547;False;False;24.975174600000006;60.2148182;POINT (24.975174600000003 60.2148182)
354328;368339;osm:node:2433697516;OsmVertex;True;True;osm:node:2433697516;False;False;24.9763043;60.214303599999994;POINT (24.976304300000002 60.2143036)
354342;368132;osm:node:2433697500;OsmVertex;True;True;osm:node:2433697500;False;False;24.9779215;60.21407120000001;POINT (24.9779215 60.21407120000001)
354349;368338;osm:node:2433697506;OsmVertex;True;True;osm:node:2433697506;False;False;24.9763516;60.2141169;POINT (24.9763516 60.2141169)
354403;519852;-1;ElevatorOnboardVertex;True;True;osm:node:3044136846:level:-1_onboard;False;;24.950956100000006;60.1794887;POINT (24.950956100000003 60.1794887)
354554;519496;-2;ElevatorOnboardVertex;True;True;osm:node:4659388924:level:-2_onboard;False;;25.0830587;60.2357968;POINT (25.083058700000002 60.2357968)
354599;309446;osm:node:2466173775;OsmVertex;True;True;osm:node:2466173775;False;False;24.979357200000006;60.21464380000001;POINT (24.979357200000003 60.214643800000005)
354601;329932;osm:node:2466173774;OsmVertex;True;True;osm:node:2466173774;False;False;24.9789953;60.2145578;POINT (24.9789953 60.2145578)
354603;309447;osm:node:2466173779;OsmVertex;True;True;osm:node:2466173779;False;False;24.979718;60.214734899999996;POINT (24.979718000000002 60.2147349)
354621;70031;osm:node:601734443;OsmVertex;True;True;osm:node:601734443;False;False;24.9692121;60.219235999999995;POINT (24.9692121 60.219236)
